Resource,Zone,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CapRes_1
SPP_N_res_water_heat_1,1,0,162.1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_N,1,2,2,1,0
SPP_NEBR_res_water_heat_1,2,0,74.1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_NEBR,1,2,2,1,0
SPP_SPS_res_water_heat_1,3,0,27,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_SPS,1,2,2,1,0
SPP_WAUE_res_water_heat_1,4,0,33.3,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_WAUE,1,2,2,1,0
SPP_WEST_res_water_heat_1,5,0,169.3,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_WEST,1,2,2,1,0
SPP_N_trans_light_duty_1,1,0,544.4,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_N,1,5,0,1,0
SPP_NEBR_trans_light_duty_1,2,0,287.9,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_NEBR,1,5,0,1,0
SPP_SPS_trans_light_duty_1,3,0,76.5,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_SPS,1,5,0,1,0
SPP_WAUE_trans_light_duty_1,4,0,138.2,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_WAUE,1,5,0,1,0
SPP_WEST_trans_light_duty_1,5,0,686,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,SPP_WEST,1,5,0,1,0
